Strain,Species,Clade,Accession,Link,LOCATION,LAT,LON
CL821.1,S. eubayanus,ADM,SAMN11565803,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565803/,Karukinka,-54.10117,-69.356707
CL810.1,S. eubayanus,ADM,SAMN11565778,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565778/,Karukinka,-54.10117,-69.356707
CL807.1,S. eubayanus,ADM,SAMN11565777,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565777/,Karukinka,-54.10117,-69.356707
CL804.1,S. eubayanus,ADM,SAMN11565765,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565765/,Karukinka,-54.10117,-69.356707
CL803.1,S. eubayanus,ADM,SAMN11565805,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565805/,Karukinka,-54.10117,-69.356707
CL609.1,S. eubayanus,ADM,SAMN11565756,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565756/,Puyehue,-39.662728,-72.388317
CL451.4,S. eubayanus,ADM,SAMN11565747,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565747/,Coyhaique,-45.554026,-72.070972
CL210.1,S. eubayanus,ADM,SAMN11565791,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565791/,Villarrica,-39.281202,-72.232914
CL1112.1,S. eubayanus,ADM,SAMN11565790,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565790/,Nahuelbuta,-37.792657,-72.998177
CL1106.1,S. eubayanus,ADM,SAMN11565779,https://www.ncbi.nlm.nih.gov/biosample/SAMN11565779/,Nahuelbuta,-37.792657,-72.998177
